timestamp,time_s,x_ut,y_ut,z_ut,magnitude
2026-01-30T11:24:06.687709,5.079,-7.00,-83.70,122.80,148.78
2026-01-30T11:24:06.687709,5.079,-9.20,-188.10,194.20,270.52
2026-01-30T11:24:06.797975,5.189,-71.60,-136.30,124.00,197.69
2026-01-30T11:24:06.797975,5.189,-51.30,-113.00,86.50,151.27
2026-01-30T11:24:06.906977,5.298,-65.60,-95.00,113.10,161.62
2026-01-30T11:24:06.906977,5.298,-34.00,-146.10,65.90,163.84
2026-01-30T11:24:07.017013,5.408,-68.60,-151.30,171.20,238.55
2026-01-30T11:24:07.017013,5.408,-37.00,-147.60,172.40,229.95
2026-01-30T11:24:07.125973,5.517,-92.60,-113.00,76.80,165.05
2026-01-30T11:24:07.125973,5.517,-71.60,-108.50,93.80,160.30
2026-01-30T11:24:07.235976,5.627,-34.00,-152.10,114.30,193.27
2026-01-30T11:24:07.235976,5.627,-58.80,-144.60,180.90,238.94
2026-01-30T11:24:07.344590,5.736,1.30,-155.80,136.10,206.88
2026-01-30T11:24:07.344590,5.736,-79.10,-112.30,164.00,213.93
2026-01-30T11:24:07.344590,5.736,-73.80,-99.50,111.90,166.94
2026-01-30T11:24:07.455967,5.847,-44.50,-107.00,61.10,131.01
2026-01-30T11:24:07.455967,5.847,-27.30,-171.60,164.00,238.93
2026-01-30T11:24:07.561686,5.953,-57.30,-135.60,164.00,220.38
2026-01-30T11:24:07.561686,5.953,-67.80,-89.70,79.30,137.59
2026-01-30T11:24:07.667104,6.058,-15.20,-122.00,90.10,152.42
2026-01-30T11:24:07.667104,6.058,-19.00,-155.80,170.00,231.38
2026-01-30T11:24:07.783962,6.175,-49.80,-170.10,166.40,243.11
2026-01-30T11:24:07.783962,6.175,-64.10,-122.00,155.50,207.78
2026-01-30T11:24:07.889078,6.280,-21.30,-168.60,68.40,183.19
2026-01-30T11:24:07.889078,6.280,-79.10,-163.30,161.50,242.91
2026-01-30T11:24:07.889078,6.280,-68.60,-100.30,125.20,174.47
2026-01-30T11:24:07.992989,6.384,-25.00,-125.80,86.50,154.70
2026-01-30T11:24:07.992989,6.384,-10.70,-150.60,99.80,180.98
2026-01-30T11:24:08.113025,6.504,-20.50,-176.10,155.50,235.82
2026-01-30T11:24:08.113025,6.504,-54.30,-167.80,213.60,277.00
2026-01-30T11:24:08.218221,6.609,-79.10,-92.70,130.10,178.26
2026-01-30T11:24:08.219221,6.610,-26.50,-128.00,103.50,166.73
2026-01-30T11:24:08.323914,6.715,-39.30,-124.30,114.30,173.38
2026-01-30T11:24:08.323914,6.715,-53.50,-147.60,206.30,259.24
2026-01-30T11:24:08.440620,6.832,-73.80,-125.00,96.20,174.14
2026-01-30T11:24:08.440620,6.832,-9.20,-122.00,110.70,164.99
2026-01-30T11:24:08.440620,6.832,-35.50,-157.30,161.50,228.22
2026-01-30T11:24:08.546755,6.938,-71.60,-131.80,174.80,230.33
2026-01-30T11:24:08.546755,6.938,-76.10,-115.30,144.60,199.99
2026-01-30T11:24:08.653116,7.044,-64.80,-90.50,101.00,150.30
2026-01-30T11:24:08.653116,7.044,-7.70,-143.10,82.90,165.56
2026-01-30T11:24:08.761486,7.153,-42.30,-146.80,189.40,243.33
2026-01-30T11:24:08.761486,7.153,-115.90,-101.80,193.00,247.07
2026-01-30T11:24:08.868162,7.259,-82.80,-143.10,73.20,180.81
2026-01-30T11:24:08.868162,7.259,-85.80,-119.80,79.30,167.34
2026-01-30T11:24:08.975362,7.366,-28.80,-113.00,82.90,143.08
2026-01-30T11:24:08.975362,7.366,-30.30,-127.30,130.10,184.52
2026-01-30T11:24:09.083542,7.475,-89.60,-163.30,154.30,241.88
2026-01-30T11:24:09.083542,7.475,-73.80,-87.50,139.80,180.68
2026-01-30T11:24:09.190240,7.581,-83.60,-79.20,109.50,158.91
2026-01-30T11:24:09.190240,7.581,-20.50,-126.50,80.50,151.34
2026-01-30T11:24:09.190240,7.581,-29.50,-158.80,171.20,235.37
2026-01-30T11:24:09.299475,7.691,-96.40,-142.30,126.40,213.35
2026-01-30T11:24:09.299987,7.691,-102.40,-104.80,104.70,180.09
2026-01-30T11:24:09.408756,7.800,-48.30,-116.80,91.40,155.98
2026-01-30T11:24:09.408756,7.800,-30.30,-128.00,162.70,209.22
2026-01-30T11:24:09.518756,7.910,-38.50,-148.30,180.90,237.07
2026-01-30T11:24:09.518756,7.910,-72.30,-79.20,213.60,239.01
2026-01-30T11:24:09.629844,8.021,-3.20,-116.00,125.20,170.71
2026-01-30T11:24:09.629844,8.021,-22.80,-153.60,200.30,253.44
2026-01-30T11:24:09.740563,8.132,-65.60,-128.00,170.00,222.68
2026-01-30T11:24:09.740563,8.132,-51.30,-165.60,97.40,198.85
2026-01-30T11:24:09.740563,8.132,-19.80,-139.30,199.00,243.72
2026-01-30T11:24:09.849244,8.240,-70.10,-101.00,184.50,221.71
2026-01-30T11:24:09.850245,8.241,1.30,-125.80,52.60,136.36
2026-01-30T11:24:09.972984,8.364,-25.80,-163.30,153.10,225.33
2026-01-30T11:24:09.972984,8.364,-91.80,-133.30,144.60,217.04
2026-01-30T11:24:10.080692,8.472,-32.50,-104.80,35.70,115.39
2026-01-30T11:24:10.080692,8.472,-14.50,-180.60,173.60,250.93
2026-01-30T11:24:10.189877,8.581,-85.80,-147.60,196.60,260.38
2026-01-30T11:24:10.189877,8.581,-97.10,-91.20,80.50,155.65
2026-01-30T11:24:10.189877,8.581,-42.30,-95.00,88.90,136.81
2026-01-30T11:24:10.300091,8.691,-30.30,-146.80,226.90,271.94
2026-01-30T11:24:10.300091,8.691,-63.30,-164.80,209.90,274.27
2026-01-30T11:24:10.410829,8.802,-58.10,-119.80,130.10,186.15
2026-01-30T11:24:10.411831,8.803,-24.30,-137.80,143.40,200.36
2026-01-30T11:24:10.522033,8.913,-73.80,-172.40,166.40,250.71
2026-01-30T11:24:10.523034,8.914,-73.10,-102.50,59.90,139.42
2026-01-30T11:24:10.637262,9.028,-45.30,-143.80,125.20,195.97
2026-01-30T11:24:10.637767,9.029,-64.10,-140.80,133.70,204.47
2026-01-30T11:24:10.637767,9.029,-84.30,-111.50,86.50,164.38
2026-01-30T11:24:10.748494,9.140,-10.70,-154.30,87.70,177.80
2026-01-30T11:24:10.748494,9.140,-79.10,-152.80,207.50,269.56
2026-01-30T11:24:10.863976,9.255,-82.80,-100.30,98.60,163.21
2026-01-30T11:24:10.863976,9.255,-46.80,-119.80,93.80,159.19
2026-01-30T11:24:10.973906,9.365,-45.30,-161.10,148.20,223.54
2026-01-30T11:24:10.973906,9.365,-83.60,-107.00,97.40,167.11
2026-01-30T11:24:11.083095,9.474,-8.50,-159.60,109.50,193.74
2026-01-30T11:24:11.083095,9.474,-73.10,-173.90,143.40,236.96
2026-01-30T11:24:11.191939,9.583,-58.80,-116.00,93.80,160.35
2026-01-30T11:24:11.191939,9.583,-20.50,-197.90,61.10,208.13
2026-01-30T11:24:11.191939,9.583,-1.00,-181.40,137.30,227.50
2026-01-30T11:24:11.302165,9.693,-36.30,-226.40,147.00,272.37
2026-01-30T11:24:11.302165,9.693,-22.00,-202.40,34.50,206.49
2026-01-30T11:24:11.410904,9.802,52.30,-188.90,91.40,216.27
2026-01-30T11:24:11.410904,9.802,81.60,-254.20,102.20,285.87
2026-01-30T11:24:11.520957,9.912,58.40,-252.70,154.30,301.79
2026-01-30T11:24:11.520957,9.912,111.70,-261.00,124.00,309.80
2026-01-30T11:24:11.627655,10.019,195.00,-351.80,168.80,436.21
2026-01-30T11:24:11.627655,10.019,141.00,-381.10,242.60,473.26
2026-01-30T11:24:11.746989,10.138,145.50,-353.30,167.60,417.23
2026-01-30T11:24:11.746989,10.138,246.10,-408.20,189.40,512.90
2026-01-30T11:24:11.747988,10.139,176.30,-414.20,337.00,562.33
2026-01-30T11:24:11.865415,10.257,200.30,-453.20,278.90,568.59
2026-01-30T11:24:11.865415,10.257,267.10,-442.00,295.80,595.15
2026-01-30T11:24:11.973086,10.364,281.40,-514.10,415.60,718.48
2026-01-30T11:24:11.973086,10.364,234.10,-497.50,401.10,680.58
2026-01-30T11:24:12.085151,10.476,285.20,-509.60,374.50,693.74
2026-01-30T11:24:12.085151,10.476,305.40,-544.10,525.70,815.89
2026-01-30T11:24:12.195920,10.587,264.10,-515.60,510.00,771.81
2026-01-30T11:24:12.195920,10.587,324.20,-521.60,493.10,787.60
2026-01-30T11:24:12.195920,10.587,337.70,-558.40,631.00,907.75
2026-01-30T11:24:12.305953,10.697,363.30,-554.60,628.60,913.62
2026-01-30T11:24:12.305953,10.697,458.60,-526.80,559.60,894.98
2026-01-30T11:24:12.419900,10.811,469.90,-557.60,680.60,997.47
2026-01-30T11:24:12.419900,10.811,410.60,-514.10,662.50,933.70
2026-01-30T11:24:12.525419,10.917,496.90,-515.60,571.70,916.29
2026-01-30T11:24:12.525419,10.917,419.60,-497.50,483.40,810.71
2026-01-30T11:24:12.635434,11.027,282.20,-430.70,399.90,651.97
2026-01-30T11:24:12.635434,11.027,229.60,-356.30,249.90,492.05
2026-01-30T11:24:12.745876,11.137,142.50,-346.60,148.20,402.99
2026-01-30T11:24:12.745876,11.137,69.60,-290.30,189.40,353.54
2026-01-30T11:24:12.745876,11.137,36.60,-258.00,121.60,287.56
2026-01-30T11:24:12.856123,11.247,-34.80,-167.10,39.30,175.15
2026-01-30T11:24:12.856123,11.247,30.60,-194.90,84.10,214.46
2026-01-30T11:24:12.966509,11.358,14.00,-208.40,136.10,249.30
2026-01-30T11:24:12.966509,11.358,-36.30,-221.90,122.80,256.20
2026-01-30T11:24:13.075870,11.467,-43.80,-161.10,127.70,210.19
2026-01-30T11:24:13.075870,11.467,-12.20,-181.40,136.10,227.11
2026-01-30T11:24:13.183894,11.575,-14.50,-173.10,138.50,222.16
2026-01-30T11:24:13.183894,11.575,-43.00,-152.10,164.00,227.77
2026-01-30T11:24:13.293865,11.685,-55.80,-120.50,74.40,152.21
2026-01-30T11:24:13.293865,11.685,-33.30,-112.30,137.30,180.48
2026-01-30T11:24:13.293865,11.685,-34.80,-140.10,185.70,235.21
2026-01-30T11:24:13.403861,11.795,-64.10,-126.50,168.80,220.46
2026-01-30T11:24:13.403861,11.795,-90.30,-92.00,86.50,155.24
2026-01-30T11:24:13.521041,11.912,-22.80,-166.30,76.80,184.59
2026-01-30T11:24:13.521041,11.912,-61.10,-174.60,145.80,235.53
2026-01-30T11:24:13.640165,12.031,-40.00,-116.00,62.30,137.61
2026-01-30T11:24:13.640165,12.031,0.50,-182.90,99.80,208.36
2026-01-30T11:24:13.640165,12.031,-82.80,-184.40,150.60,252.07
2026-01-30T11:24:13.745880,12.137,-56.60,-149.80,50.20,167.82
2026-01-30T11:24:13.745880,12.137,-16.70,-165.60,177.30,243.18
2026-01-30T11:24:13.862067,12.253,-59.60,-134.10,137.30,200.96
2026-01-30T11:24:13.862067,12.253,0.50,-142.30,79.30,162.90
2026-01-30T11:24:13.973046,12.364,27.60,-178.40,150.60,235.09
2026-01-30T11:24:13.974047,12.365,-26.50,-173.90,120.40,213.17
2026-01-30T11:24:14.078718,12.470,2.80,-154.30,108.30,188.53
2026-01-30T11:24:14.078718,12.470,65.90,-258.00,52.60,271.43
2026-01-30T11:24:14.185380,12.576,91.40,-299.30,97.40,327.75
2026-01-30T11:24:14.185380,12.576,147.70,-356.30,157.90,416.77
2026-01-30T11:24:14.300891,12.692,272.40,-402.90,78.00,492.56
2026-01-30T11:24:14.300891,12.692,508.20,-453.20,161.50,699.81
2026-01-30T11:24:14.300891,12.692,651.60,-562.10,379.30,940.43
2026-01-30T11:24:14.407509,12.799,753.00,-572.60,565.70,1102.22
2026-01-30T11:24:14.407509,12.799,885.20,-519.30,618.90,1198.45
2026-01-30T11:24:14.515593,12.907,964.80,-541.10,835.50,1386.25
2026-01-30T11:24:14.515593,12.907,999.40,-504.30,975.90,1485.09
2026-01-30T11:24:14.625842,13.017,1075.20,-492.30,943.20,1512.63
2026-01-30T11:24:14.625842,13.017,1101.50,-542.60,1065.40,1625.67
2026-01-30T11:24:14.736447,13.128,1132.30,-525.30,985.50,1590.36
2026-01-30T11:24:14.736447,13.128,1199.90,-494.50,962.60,1615.82
2026-01-30T11:24:14.847518,13.239,1317.00,-499.80,921.40,1683.23
2026-01-30T11:24:14.847518,13.239,1356.80,-526.80,922.60,1723.26
2026-01-30T11:24:14.848518,13.240,1457.50,-484.00,742.30,1705.75
2026-01-30T11:24:14.961974,13.353,1529.60,-434.50,677.00,1728.23
2026-01-30T11:24:14.962976,13.354,1525.10,-513.30,612.90,1721.93
2026-01-30T11:24:15.072347,13.463,1366.60,-427.70,458.00,1503.43
2026-01-30T11:24:15.072347,13.463,1263.70,-436.70,383.00,1390.80
2026-01-30T11:24:15.194496,13.586,1227.70,-490.00,513.60,1418.14
2026-01-30T11:24:15.194496,13.586,1146.60,-421.70,758.10,1437.79
2026-01-30T11:24:15.194496,13.586,1190.10,-496.00,894.80,1569.40
2026-01-30T11:24:15.304362,13.695,1144.30,-563.60,1008.50,1626.08
2026-01-30T11:24:15.304362,13.695,970.10,-562.90,931.10,1457.70
2026-01-30T11:24:15.412957,13.804,847.70,-636.50,731.40,1287.89
2026-01-30T11:24:15.412957,13.804,669.70,-683.80,499.10,1079.44
2026-01-30T11:24:15.523336,13.914,474.40,-677.80,426.50,930.79
2026-01-30T11:24:15.523336,13.914,270.90,-583.20,312.80,715.09
2026-01-30T11:24:15.634380,14.025,150.70,-460.70,167.60,512.88
2026-01-30T11:24:15.634380,14.025,125.90,-354.10,151.90,405.35
2026-01-30T11:24:15.744885,14.136,70.40,-336.10,143.40,372.13
2026-01-30T11:24:15.744885,14.136,45.60,-284.30,157.90,328.39
2026-01-30T11:24:15.744885,14.136,-28.80,-221.20,132.50,259.45
2026-01-30T11:24:15.854844,14.246,-65.60,-166.30,56.30,187.43
2026-01-30T11:24:15.854844,14.246,-28.80,-131.00,110.70,173.91
2026-01-30T11:24:15.965957,14.357,-23.50,-188.90,147.00,240.51
2026-01-30T11:24:15.965957,14.357,-22.00,-182.90,132.50,226.92
2026-01-30T11:24:16.075330,14.466,-84.30,-165.60,125.20,224.06
2026-01-30T11:24:16.075330,14.466,-55.80,-109.30,164.00,204.83
2026-01-30T11:24:16.185423,14.577,-67.10,-110.00,119.20,175.53
2026-01-30T11:24:16.185423,14.577,-7.70,-104.00,58.70,119.67
2026-01-30T11:24:16.293318,14.684,-14.50,-204.60,92.60,225.05
2026-01-30T11:24:16.293318,14.684,-61.80,-117.50,245.00,278.66
2026-01-30T11:24:16.293318,14.684,-74.60,-122.00,101.00,175.07
2026-01-30T11:24:16.402092,14.793,-55.80,-156.60,47.80,172.98
2026-01-30T11:24:16.403091,14.794,-4.70,-198.60,137.30,241.49
2026-01-30T11:24:16.515938,14.907,-76.80,-107.80,157.90,206.04
2026-01-30T11:24:16.515938,14.907,-18.20,-122.00,38.10,129.10
2026-01-30T11:24:16.637602,15.029,-23.50,-157.30,193.00,250.09
2026-01-30T11:24:16.637602,15.029,-50.50,-176.90,126.40,223.21
2026-01-30T11:24:16.638807,15.030,-76.10,-110.80,109.50,173.37
2026-01-30T11:24:16.747642,15.139,-7.70,-107.80,87.70,139.18
2026-01-30T11:24:16.748642,15.140,-1.00,-141.60,190.60,237.44
2026-01-30T11:24:16.857957,15.249,-50.50,-147.60,157.90,221.96
2026-01-30T11:24:16.857957,15.249,-54.30,-131.80,69.60,158.63
2026-01-30T11:24:16.967483,15.359,-27.30,-125.00,64.70,143.37
2026-01-30T11:24:16.967483,15.359,-26.50,-155.80,177.30,237.51
2026-01-30T11:24:17.081816,15.473,-47.50,-160.30,166.40,235.88
2026-01-30T11:24:17.081816,15.473,-61.80,-107.80,130.10,179.91
2026-01-30T11:24:17.193966,15.585,-17.50,-131.00,142.20,194.13
2026-01-30T11:24:17.194966,15.586,-21.30,-180.60,159.10,241.63
2026-01-30T11:24:17.194966,15.586,-51.30,-147.60,203.90,256.89
2026-01-30T11:24:17.307382,15.698,-67.80,-118.30,130.10,188.46
2026-01-30T11:24:17.308382,15.699,-42.30,-122.80,88.90,157.39
2026-01-30T11:24:17.420880,15.812,-46.80,-155.80,160.30,228.39
2026-01-30T11:24:17.420880,15.812,-78.30,-148.30,171.20,239.65
2026-01-30T11:24:17.540037,15.931,-88.10,-119.00,95.00,175.92
2026-01-30T11:24:17.540037,15.931,-16.00,-156.60,98.60,185.75
2026-01-30T11:24:17.540037,15.931,-94.10,-161.10,149.40,239.02
2026-01-30T11:24:17.653345,16.044,-75.30,-111.50,127.70,185.50
2026-01-30T11:24:17.653345,16.044,-43.80,-132.60,65.90,154.42
2026-01-30T11:24:17.767677,16.159,-87.30,-134.80,191.80,250.16
2026-01-30T11:24:17.767677,16.159,-69.30,-128.80,124.00,191.75
2026-01-30T11:24:17.881580,16.273,-2.50,-149.80,81.70,170.65
2026-01-30T11:24:17.881580,16.273,-61.80,-142.30,171.20,231.04
2026-01-30T11:24:17.995750,16.387,-89.60,-100.30,88.90,161.22
2026-01-30T11:24:17.995750,16.387,-31.80,-146.80,93.80,177.09
2026-01-30T11:24:17.995750,16.387,-67.80,-161.10,180.90,251.54
2026-01-30T11:24:18.108291,16.499,-76.10,-106.30,122.80,179.36
2026-01-30T11:24:18.108291,16.499,-24.30,-96.50,144.60,175.53
2026-01-30T11:24:18.233313,16.624,-35.50,-125.00,216.00,252.07
2026-01-30T11:24:18.233313,16.624,-14.50,-175.40,136.10,222.48
2026-01-30T11:24:18.346782,16.738,-95.60,-131.80,166.40,232.81
2026-01-30T11:24:18.346782,16.738,-77.60,-128.00,102.20,181.25
2026-01-30T11:24:18.346782,16.738,-31.00,-110.80,98.60,151.52
2026-01-30T11:24:18.458904,16.850,-15.20,-144.60,149.40,208.47
2026-01-30T11:24:18.458904,16.850,-73.80,-89.00,182.10,215.70
2026-01-30T11:24:18.573026,16.964,1.30,-102.50,105.90,147.39
2026-01-30T11:24:18.573026,16.964,-15.20,-182.90,171.20,250.98
2026-01-30T11:24:18.687432,17.079,-45.30,-161.80,126.40,210.26
2026-01-30T11:24:18.687432,17.079,5.00,-194.90,69.60,207.01
2026-01-30T11:24:18.687432,17.079,62.90,-243.70,81.70,264.61
2026-01-30T11:24:18.801832,17.193,53.80,-237.70,131.30,276.83
2026-01-30T11:24:18.801832,17.193,157.50,-318.80,67.20,361.88
2026-01-30T11:24:18.918769,17.310,249.10,-420.90,178.50,520.64
2026-01-30T11:24:18.918769,17.310,372.30,-500.50,248.70,671.53
2026-01-30T11:24:19.030915,17.422,505.20,-567.40,332.10,829.13
2026-01-30T11:24:19.030915,17.422,708.70,-718.30,512.40,1131.71
2026-01-30T11:24:19.141913,17.533,808.60,-820.50,701.20,1348.61
2026-01-30T11:24:19.141913,17.533,893.50,-774.70,821.00,1439.63
2026-01-30T11:24:19.141913,17.533,913.70,-768.60,983.10,1546.63
2026-01-30T11:24:19.252888,17.644,927.30,-796.40,1132.00,1666.00
2026-01-30T11:24:19.252888,17.644,915.20,-756.60,1128.30,1638.02
2026-01-30T11:24:19.363429,17.755,904.00,-734.10,1060.60,1575.12
2026-01-30T11:24:19.364428,17.756,947.50,-691.30,1100.50,1608.34
2026-01-30T11:24:19.475995,17.867,871.70,-722.10,1109.00,1584.67
2026-01-30T11:24:19.476995,17.868,898.70,-730.30,1063.00,1571.93
2026-01-30T11:24:19.587852,17.979,961.80,-725.10,1061.80,1605.69
2026-01-30T11:24:19.587852,17.979,1069.20,-740.90,1196.10,1767.14
2026-01-30T11:24:19.588852,17.980,1194.60,-878.30,1331.60,1992.90
2026-01-30T11:24:19.710260,18.101,1339.60,-1108.90,1294.10,2167.69
2026-01-30T11:24:19.710260,18.101,1312.50,-1467.10,1019.40,2216.80
2026-01-30T11:24:19.817392,18.209,1154.10,-1599.30,724.20,2100.99
2026-01-30T11:24:19.817392,18.209,986.60,-1564.00,274.10,1869.39
2026-01-30T11:24:19.924419,18.316,803.30,-1395.70,-156.70,1617.97
2026-01-30T11:24:19.924419,18.316,662.20,-1286.10,-432.60,1509.87
2026-01-30T11:24:20.029771,18.421,445.10,-1097.60,-558.40,1309.45
2026-01-30T11:24:20.030278,18.421,367.00,-963.20,-737.50,1267.42
2026-01-30T11:24:20.135874,18.527,385.80,-998.50,-789.50,1330.10
2026-01-30T11:24:20.135874,18.527,436.10,-997.00,-859.70,1386.82
2026-01-30T11:24:20.241914,18.633,549.50,-1026.20,-1007.30,1539.38
2026-01-30T11:24:20.241914,18.633,805.60,-1108.10,-1225.10,1837.86
2026-01-30T11:24:20.241914,18.633,1135.30,-1276.30,-1307.40,2151.08
2026-01-30T11:24:20.347741,18.739,1585.10,-1367.20,-1266.30,2446.49
2026-01-30T11:24:20.348741,18.740,2278.30,-1425.80,-644.30,2763.82
2026-01-30T11:24:20.459991,18.851,2221.20,-1179.40,297.10,2532.39
2026-01-30T11:24:20.459991,18.851,1792.40,-957.90,896.00,2221.06
2026-01-30T11:24:20.577809,18.969,1344.10,-808.50,1021.80,1871.99
2026-01-30T11:24:20.577809,18.969,1166.80,-844.50,836.70,1665.73
2026-01-30T11:24:20.693801,19.085,1110.50,-961.70,879.10,1711.99
2026-01-30T11:24:20.693801,19.085,946.80,-937.60,885.10,1599.66
2026-01-30T11:24:20.693801,19.085,919.00,-971.40,842.80,1580.66
2026-01-30T11:24:20.805268,19.196,855.20,-1051.00,834.30,1591.23
